CNN,STREET,COLOR
27839000,29TH AVE,Green
27839000,GEARY,Green
26053000,DIVISADERO,Green
26053000,HAYES,Green
23889000,05TH ST,Green
23889000,BRYANT,Green
23889000,US I-80 ON RAMP,Green
24115000,22ND ST,Green
24115000,VALENCIA,Green
24054000,17TH ST,Green
24054000,HARRISON,Green
24467000,FRANKLIN,Green
24467000,MCALLISTER,Green
26036000,BRODERICK,Yellow
26036000,OAK,Green
23937000,05TH ST,Green
23937000,FOLSOM,Green
26551000,GREEN,Green
26551000,VAN NESS,Green
25671000,20TH ST,Green
25671000,GUERRERO,Green
24979000,PINE,Green
24979000,STOCKTON,Green
24378000,14TH ST,Green
24378000,VALENCIA,Green
24898000,MARKET,Green
24898000,MASON,Red
24898000,TURK,Green
25591000,BEACH,Green
25591000,TAYLOR,Green
26643000,DIVISADERO,Green
26643000,PINE,Green
21827000,MISSION,Green
21827000,RICHLAND,Green
24678000,MONTGOMERY,Green
24678000,SUTTER,Green
33636000,ALEMANY,Green
33636000,CONGDON,Red
33636000,JUSTIN,Green
25332000,COLUMBUS,Green
25332000,TRACY,Green
25332000,VALLEJO,Green
25163000,HYDE,Green
25163000,SUTTER,Green
23650000,18TH ST,Green
23650000,MINNESOTA,Green
33625000,LYON,Green
33625000,MARINA,Green
33625000,OLD MASON,Green
26695000,CHESTNUT,Green
26695000,VAN NESS,Green
24019000,MARIPOSA,Green
24019000,POTRERO,Green
26353000,BAKER,Green
26353000,FULTON,Green
33411000,JUNIPERO SERRA,Green
33411000,MERCEDES,Red
33411000,WINSTON,Green
26715000,GOUGH,Yellow
26715000,LOMBARD,Green
26634000,PIERCE,Green
26634000,PINE,Green
24571000,DRUMM,Green
24571000,WASHINGTON,Green
26943000,CALIFORNIA,Green
26943000,SPRUCE,Green
24570000,BROADWAY,Green
24570000,EMBARCADERO,Green
25914000,FELL,Green
25914000,OCTAVIA,Green
25603000,24TH ST,Green
25603000,GUERRERO,Green
26502000,GOUGH,Green
26502000,SUTTER,Green
27890000,36TH AVE,Green
27890000,GEARY,Green
23313000,OCEAN,Green
23313000,SUNSET,Green
23633000,CESAR CHAVEZ,Green
23633000,CONNECTICUT,Green
26528000,OCTAVIA,Green
26528000,PINE,Green
27697000,NORIEGA,Green
27697000,SUNSET,Green
23781000,16TH ST,Green
23781000,SAN BRUNO,Green
